player_name,IP,hr,k,bb,K%,BB%,hbp,xSLG,wOBA,xwOBA
"Sousa, Bennett",50.2,4,59,15,29.6,7.5,0,0.335,0.261,0.266
"Chandler, Bubba",31.1,2,31,4,25,3.2,3,0.415,0.26,0.298
"Uribe, Abner",75.1,4,90,27,30.2,9.1,6,0.28,0.247,0.26
"Tidwell, Blade",15,4,10,10,12.8,12.8,1,0.457,0.427,0.361
"Holmes, Clay",165.2,14,129,66,18.2,9.3,13,0.394,0.302,0.322
"Soroka, Michael",89.2,12,95,29,25.1,7.7,15,0.351,0.302,0.293
"Wentz, Joey",98,11,92,43,20.8,9.7,1,0.421,0.334,0.329
"Funderburk, Kody",41,2,40,18,21.9,9.8,3,0.34,0.321,0.298
"Tolle, Payton",16.1,5,19,8,25.7,10.8,0,0.426,0.377,0.333
"Stock, Robert",2.2,1,1,4,6.7,26.7,0,0.748,0.497,0.536
"Cavalli, Cade",48.2,7,40,15,18.3,6.8,4,0.393,0.347,0.315
"Maeda, Kenta",8,1,8,6,18.6,14,3,0.39,0.393,0.366
"Zerpa, Angel",64.2,7,58,22,21.1,8,2,0.399,0.33,0.311
"González, Wikelman",20.1,1,25,12,28.7,13.8,0,0.357,0.26,0.323
"Roupp, Landen",106.2,11,102,45,21.4,9.5,3,0.408,0.325,0.319
"Sanmartin, Reiver",1.2,0,2,1,25,12.5,0,0.378,0.305,0.251
"Pérez, Eury",95.1,12,105,32,27.3,8.3,3,0.366,0.275,0.281
"Reynolds, Sean",27,4,25,17,21.4,14.5,3,0.491,0.322,0.379
"Morgan, Eli",7.1,3,4,3,11.4,8.6,0,0.538,0.508,0.354
"García, Luis",55.1,2,48,26,20.6,11.2,0,0.419,0.32,0.326
"Horn, Bailey",11.1,1,10,7,20,14,0,0.416,0.321,0.366
"Topa, Justin",60,2,49,18,18.3,6.7,4,0.4,0.311,0.325
"Coulombe, Danny",43,3,43,18,24.4,10.2,0,0.381,0.261,0.309
"Evans, Logan",81.1,13,59,31,16.9,8.9,4,0.465,0.339,0.35
"Freeland, Kyle",162.2,22,124,38,17.5,5.4,6,0.473,0.341,0.342
"Singer, Brady",169.2,19,163,60,22.8,8.4,14,0.409,0.313,0.32
"Festa, David",53.1,10,53,19,23.1,8.3,4,0.465,0.322,0.338
"Sproat, Brandon",20.2,0,17,7,20.2,8.3,2,0.364,0.298,0.315
"Bender, Anthony",50,3,42,21,20.6,10.3,2,0.365,0.245,0.294
"Milner, Hoby",70.1,5,58,21,19.8,7.2,2,0.405,0.298,0.303
"Hendricks, Kyle",164.2,25,114,43,16.4,6.2,5,0.408,0.324,0.308
"Bride, Jonah",6,1,2,3,5.4,8.1,2,0.539,0.48,0.413
"Rodriguez, Carlos",9.2,1,11,9,22,18,0,0.32,0.414,0.309
"Hoglund, Gunnar",32.1,10,23,11,16.5,7.9,0,0.623,0.395,0.408
"Brubaker, JT",28.2,0,22,12,18.8,10.3,1,0.39,0.271,0.319
"Bachman, Sam",20.1,1,18,10,19.1,10.6,1,0.352,0.319,0.318
"McDonald, Trevor",15,1,14,2,23.3,3.3,0,0.369,0.244,0.28
"Hatch, Thomas",34,7,22,17,14.5,11.2,0,0.449,0.376,0.337
"Woo, Bryan",186.2,26,198,36,27.1,4.9,4,0.373,0.259,0.274
"Urquidy, José",2.1,0,3,3,21.4,21.4,0,0.489,0.4,0.429
